NUMBER OF CITIES: 4,
7200,
3600,
3200,
4200,
3400,
2500,
2400,
3200,
2800,
3100,
2400,
3700,
3000,
2300,
2300,
4000,
2800,
8100,
3000,
3000,
2900,
2900,
2900,
3000,
2300,
2900,
2900,
2900,
2900,
2900,
2300,
3000,
2300,
2300,
2900,
3400,
2300,
2300,
2400,
2300,
2300,
3000,
3500,
2300,
2900,
2500,
2300,
2400,
2300,
2900,
3500,
2300,
2200,
2300,
3500,
2900,
3400,
2400,
2900,
3000,
2300,
2300,
2300,
2300,
2700,
2800,
2300,
2300,
2900,
3000,
2900,
3400,
2900,
2900,
2900,
2300,
2400,
2300,
2200,
2300,
3500,
2300,
2900,
2200,
2300,
3500,
3500,
2200,
3500,
3000,
2900,
2700,
2900,
2300,
2900,
2800,
2300,
2300,
2200,
2900,
285800,2858
NUMBER OF CITIES: 6,
10500,
11000,
12700,
9700,
16400,
11600,
13100,
11300,
17800,
13500,
7300,
7600,
15100,
13600,
21600,
18500,
8200,
11800,
14300,
13800,
13400,
10200,
23100,
8500,
6600,
12200,
7200,
21800,
11800,
10300,
11900,
17600,
13100,
11600,
8900,
19100,
8000,
6400,
11700,
13100,
10400,
12000,
12300,
16600,
6500,
10300,
13300,
11500,
14500,
14800,
19400,
7300,
6800,
15300,
17400,
10000,
7900,
33100,
17900,
13700,
12900,
6500,
17700,
21800,
25500,
33100,
7400,
9100,
14100,
17300,
6700,
12700,
15200,
11900,
8200,
16600,
13300,
17900,
15600,
8500,
11600,
15200,
12400,
18900,
13900,
11200,
20100,
13300,
13500,
9200,
7200,
9300,
21000,
22300,
10200,
11600,
19700,
6800,
6500,
6500,
1329300,13293
NUMBER OF CITIES: 8,
30000,
84700,
65300,
88700,
99400,
32600,
27100,
94800,
41200,
34400,
45600,
26100,
155900,
27100,
16300,
74500,
63100,
206200,
110200,
89000,
135500,
50000,
110600,
31400,
66300,
55400,
75500,
30800,
98400,
19300,
39800,
156600,
51400,
84900,
131100,
41300,
106400,
39700,
56000,
86300,
42700,
195200,
121800,
45600,
86200,
40900,
63500,
91600,
34400,
86500,
22600,
30200,
40700,
80100,
53000,
53800,
99200,
75200,
34400,
129300,
142600,
98200,
63600,
40600,
72900,
62400,
41900,
120700,
103900,
121100,
150500,
97600,
59500,
130600,
41200,
25200,
33200,
58600,
46800,
29000,
62000,
66100,
135200,
36300,
54300,
75400,
164800,
21400,
75600,
65400,
49700,
43700,
72600,
203300,
67100,
71400,
40800,
69000,
22100,
39700,
7281800,72818
NUMBER OF CITIES: 10,
160700,
89500,
746100,
92000,
103400,
1053600,
106500,
191800,
64300,
333200,
186900,
164400,
276700,
800300,
110300,
42700,
142300,
509600,
404100,
524100,
258000,
945200,
75800,
618800,
359500,
413700,
985500,
283600,
474100,
86800,
262300,
129100,
1600400,
360300,
360600,
634300,
369800,
284400,
134600,
74800,
95500,
110900,
58400,
133900,
168000,
58200,
160400,
565100,
350600,
615300,
346100,
62800,
331400,
390800,
597800,
137900,
378000,
414400,
205600,
189600,
279900,
376300,
358000,
250100,
113800,
595800,
99400,
323000,
49600,
601000,
436500,
1034900,
58900,
129200,
42700,
274000,
168500,
32400,
678200,
473100,
723000,
307700,
85200,
198700,
100400,
282500,
80000,
181400,
725600,
800500,
212500,
160600,
560900,
853000,
369700,
737300,
610400,
387900,
110800,
514500,
34562700,345627
NUMBER OF CITIES: 12,
1290300,
385700,
1352000,
852200,
362400,
7210900,
1360200,
507300,
861600,
710700,
2231000,
1020100,
345300,
897300,
877400,
491900,
291800,
208100,
120900,
4384000,
656500,
385700,
5549400,
2281800,
2105200,
1464300,
321300,
6924200,
151000,
450800,
1447500,
410100,
403100,
616500,
1400400,
630100,
1372500,
2969600,
3300300,
2546700,
342600,
1501300,
4536000,
5303500,
636500,
1638000,
772700,
396600,
443000,
1121100,
349500,
976500,
144900,
1662700,
781800,
130000,
2628500,
387600,
869100,
896000,
1353200,
337700,
785600,
436200,
674200,
193400,
4090200,
4237800,
1885700,
1402000,
162300,
253400,
366000,
1471300,
734900,
401900,
684700,
777200,
383700,
3782000,
549200,
630300,
573200,
701700,
1297500,
4905600,
959400,
7643300,
745700,
1092900,
2241000,
2288300,
1317500,
4483300,
211400,
460100,
4168600,
2277500,
249600,
588100,
148463600,1484636
NUMBER OF CITIES: 14,
15012500,
34621600,
4674100,
2426300,
5375100,
1918500,
13484800,
2409900,
1116500,
4341200,
6497500,
16690600,
9039500,
1721100,
2290800,
1026400,
2229900,
9830300,
2036600,
1361000,
1543100,
5109600,
4109900,
6552800,
1132800,
654300,
1597300,
27218500,
3371500,
4151400,
8773200,
6938400,
601100,
4463200,
921100,
12743000,
1275100,
983000,
3953400,
3510100,
15221900,
4737900,
7867300,
3100200,
2347400,
15583100,
2096100,
24880300,
14378200,
1009900,
3536900,
728800,
16838500,
3859100,
2914100,
895200,
2574500,
1911200,
1015800,
439000,
1465400,
859700,
2780600,
15696400,
519300,
4040400,
4235200,
483700,
1542100,
1203200,
1810000,
1054000,
9444500,
1620700,
2762700,
3014000,
4586700,
1095500,
1129300,
16275400,
4828100,
2590700,
606900,
1858500,
15334300,
19057700,
873100,
1037000,
1277200,
6287000,
1816700,
13616000,
2533400,
1711300,
3201000,
3709900,
1436900,
1687600,
1904400,
21314000,
545942900,5459429
NUMBER OF CITIES: 16,
40969100,
113615000,
8513300,
6801300,
16171000,
32779600,
3941100,
628000,
82034300,
8551000,
11296900,
12256100,
167956100,
14087800,
9839800,
2214500,
9003600,
77030400,
14978800,
13543400,
19778000,
10843900,
2431500,
39055900,
8365500,
33376300,
2770400,
3726800,
2234200,
3724200,
910500,
6811300,
347447600,
9920000,
15409700,
2555100,
2642900,
2821800,
33801000,
141123700,
2098000,
4400200,
30573700,
3368500,
22776000,
4072000,
2204300,
14023300,
8027700,
6829200,
15559000,
14247800,
60234700,
3560300,
10634100,
7560100,
6656100,
6910900,
1908800,
1339300,
727400,
1398200,
38582600,
60671100,
38034400,
21218400,
1913000,
539911600,
6094800,
10168700,
4954700,
130509500,
4140700,
5155000,
53508100,
10747700,
34137900,
7339400,
175832700,
2637700,
7998500,
41379100,
20116300,
12697400,
8401200,
6910400,
2503100,
4999300,
80456700,
2590100,
2451600,
18058500,
7777700,
84465400,
66889300,
43542100,
2669500,
114700100,
2541600,
18189200,
3259966100,32599661
