NUMBER OF CITIES: 4,
4800,
1200,
800,
900,
800,
1000,
900,
800,
700,
600,
600,
800,
700,
600,
600,
700,
700,
700,
600,
700,
600,
600,
700,
600,
600,
600,
600,
500,
600,
700,
600,
600,
700,
600,
500,
600,
600,
600,
700,
600,
500,
600,
700,
1100,
600,
700,
500,
600,
700,
600,
600,
600,
500,
600,
500,
600,
600,
600,
700,
600,
600,
600,
500,
700,
600,
700,
800,
600,
500,
600,
600,
500,
700,
600,
600,
600,
600,
600,
600,
600,
500,
600,
600,
600,
500,
600,
600,
600,
600,
600,
600,
600,
600,
600,
600,
600,
700,
600,
600,
600,
68000,680
NUMBER OF CITIES: 6,
6200,
6600,
4400,
6300,
5000,
5400,
8200,
6600,
4700,
6300,
4500,
5300,
3400,
5600,
3900,
5200,
4600,
5800,
3000,
4400,
4700,
5300,
6400,
3400,
5000,
2500,
4500,
2700,
6700,
4700,
3500,
4000,
6600,
4500,
4100,
6400,
7200,
4500,
4100,
7500,
9100,
3400,
4400,
6400,
4500,
4300,
4200,
4000,
5100,
5800,
2900,
4300,
5000,
4400,
7600,
3400,
7400,
2600,
3300,
3100,
4900,
3900,
3100,
5100,
7600,
5600,
3400,
3600,
3500,
4800,
5000,
4400,
2200,
2800,
4600,
3700,
5800,
5800,
5000,
4000,
6700,
5800,
6300,
4000,
3100,
4000,
2200,
4100,
2300,
4800,
5800,
2500,
2500,
3200,
3600,
3900,
4100,
2400,
6500,
3400,
468900,4689
NUMBER OF CITIES: 8,
62200,
41800,
47400,
41200,
22200,
67200,
171000,
41100,
15000,
27400,
55700,
27400,
132600,
76800,
101200,
103000,
19300,
79800,
90300,
15900,
48200,
30800,
88300,
41300,
46600,
30900,
36700,
38800,
103200,
27900,
122200,
34600,
79900,
39600,
17900,
41300,
61500,
65700,
42000,
70400,
15500,
84900,
18600,
35100,
74100,
34300,
73400,
85300,
9500,
41200,
56000,
40900,
121800,
38600,
141700,
32900,
81200,
44800,
68900,
30600,
25800,
10500,
54700,
48900,
24400,
85600,
36100,
22400,
90300,
121800,
41500,
52300,
49100,
58400,
46900,
38000,
43300,
67000,
23300,
32800,
65900,
115400,
18500,
40400,
47300,
91700,
35800,
171200,
21200,
8400,
69300,
31300,
20300,
98300,
29000,
33500,
19400,
31400,
24400,
43900,
5425300,54253
NUMBER OF CITIES: 10,
43000,
121300,
223500,
303700,
88100,
342300,
499700,
270700,
260900,
1012900,
474200,
867200,
389700,
186700,
228600,
250000,
116500,
113600,
755900,
283300,
370200,
352700,
155700,
223300,
128700,
448000,
697000,
212400,
592000,
1181000,
354800,
142100,
205900,
439100,
316500,
496700,
605900,
1259000,
89900,
592200,
312800,
165100,
168300,
496700,
1232600,
472800,
158400,
253500,
53200,
146700,
100900,
128600,
367600,
374500,
298400,
95700,
340900,
228200,
439200,
106500,
93900,
374900,
209600,
75100,
482000,
180100,
445900,
396900,
490500,
107500,
361000,
194700,
371200,
188900,
355800,
744400,
80000,
347500,
850400,
503100,
656500,
335600,
268900,
272400,
179800,
77100,
666000,
155400,
239700,
141100,
217700,
481800,
280600,
115200,
1035900,
56400,
65800,
126700,
172500,
111000,
34145000,341450
NUMBER OF CITIES: 12,
671400,
441500,
4290800,
1981600,
1113300,
788800,
2891400,
5491800,
1127400,
1821900,
1384100,
2089700,
4084000,
6065700,
1705800,
6853900,
1720200,
5361900,
2585500,
2451400,
772700,
326200,
600300,
471500,
2363700,
2263800,
4376000,
2484100,
4990500,
1159900,
372400,
1515900,
805900,
1244500,
1303700,
1553400,
3506000,
4704600,
937700,
1185100,
2872400,
293300,
4174700,
253100,
994800,
952300,
4134700,
2723200,
347000,
2423700,
1289100,
535400,
3157700,
1211800,
506500,
1941700,
1938400,
2556500,
893800,
1000200,
532800,
1177000,
1848600,
443600,
2526300,
940000,
4644100,
2584100,
2919700,
1019000,
3625300,
1295100,
1266900,
2291300,
746200,
2987200,
2724900,
1719000,
3912700,
754300,
43100,
1515900,
2187600,
2205900,
2334100,
406100,
1489500,
1893600,
2371600,
460200,
1080100,
7891500,
795100,
9107800,
914300,
3547300,
775300,
8142400,
1431500,
1421000,
216032300,2160323
NUMBER OF CITIES: 14,
28175500,
2913900,
3486500,
11931200,
959700,
21948400,
7845900,
4364700,
23623300,
14670700,
25815000,
4172700,
8031400,
19738100,
2620800,
21526000,
6924000,
7636700,
5571400,
3489200,
5107500,
1106400,
3913700,
4326400,
5154500,
21676400,
1667700,
3533700,
50748700,
13596500,
3460200,
9232100,
4486300,
10171400,
4594000,
10294100,
6663300,
10457800,
5879600,
12224600,
12353900,
11382000,
47931800,
6127100,
3526200,
1928900,
11375800,
5171400,
4064900,
2694600,
2148900,
9236700,
7284300,
14255200,
6154700,
4255000,
4405100,
1733400,
10440900,
16531800,
5508300,
4476100,
3049500,
4291200,
1382900,
3549700,
16663600,
6621800,
3692900,
2886700,
2912800,
11258900,
20567400,
3716600,
19811000,
10058800,
8930900,
11644000,
7011400,
2884000,
6808200,
20630700,
94671500,
3402800,
9285500,
4630100,
27051200,
5170200,
3185700,
19104000,
7392800,
10969300,
17884500,
4029300,
4360600,
19276600,
15089600,
6065600,
6432500,
2455800,
1035557600,10355576
NUMBER OF CITIES: 16,
153217200,
245291800,
31775300,
54310400,
24052000,
7742500,
14563200,
66007100,
48704200,
107331000,
10878300,
69802300,
48328900,
156734900,
84878500,
43166500,
76687900,
25384000,
270643200,
10758200,
7912600,
8078200,
62232000,
66766400,
47935500,
60083100,
184084000,
27478500,
40561600,
14028400,
121906300,
16904600,
39305100,
7770100,
147172000,
116944200,
73149100,
27884500,
35562200,
26081600,
12185400,
101492100,
51103200,
30363600,
117207800,
59304700,
102032800,
117101600,
28437400,
21858600,
10081400,
32190000,
173867600,
43944700,
6102300,
28110900,
8212600,
8906400,
44399200,
20488300,
43150200,
114707200,
7512200,
31738600,
78300300,
30843000,
20249400,
4592500,
7604600,
155429100,
20421600,
6983100,
15210700,
78811100,
58176200,
19492500,
13892100,
18167200,
166209800,
24519400,
27123200,
50229500,
28355200,
11455500,
20376300,
15191200,
9302300,
58273800,
6888000,
13307800,
99564300,
61463300,
10502800,
28472700,
21478900,
7062200,
60559600,
41490600,
12140800,
13794700,
5212531500,52125315
